Timestamp,Directorate,Division_Section,Role_position,Data_Types,Software_used,Data collection tools in use ,Databases,Accuracy,Completeness,Consistency,Reliability,Data_Integrity,Data_security,Data_protection,Analytical_outputs,Analytical_support,Data_utilization,Staff_on_data,Staff_of_number,Level_of_expertise,Training_needed,Data_security_compliance_Challenges,Documented_policies_SOPs,Awareness_of Data Sharing_policy,Awareness of_DPAct,Doc_SOPs,Gaps_governance_security,Support_from_DS&AS,Opportunities_for_collaboration,comments_or_suggestions
10/1/2025 21:23:56,Research & Product Development (RPD),Infectious Diseases & one health,Research Scientist,Biological,"R, Python, SPSS, GraphPad, Excel","CSPro, REDCap, Excel, Paper-based forms","REDCap, MS Access, SQL / MySQL / PostgreSQL",4(Good),4(Good),4(Good),4(Good),4(High),5(Very High),5(Very High),"Predictive models / forecasts, Exploratory models",Weekly,Maybe,Yes,3,Advanced,None,Risks of data breaches or unauthorized access,Yes,Maybe,Maybe,Maybe,Backup systems,,,
10/2/2025 5:33:01,Research & Product Development (RPD),Reproductive health & Biology,Director General,All of the above,Excel,Excel,MS Access,4(Good),4(Good),3(Fair),3(Fair),3(Moderate),3(Moderate),3(Moderate),"Dashboards / Visualisations, Predictive models / forecasts, Exploratory models",Ad-hoc / As needed,Yes,No,,Intermediate,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",No,Yes,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",Engagement with staff to identify the gaps,Yes,This is an excellent section that can utilise data to improve research
10/2/2025 12:35:31,Research & Product Development (RPD),Reproductive health & Biology,Assistant Research Scientist,Biological,"R, Python, Excel","ODK/KOBO Collect, REDCap, Excel","REDCap, ODK, MS Access, SQL / MySQL / PostgreSQL, Text Based Database",4(Good),4(Good),4(Good),4(Good),4(High),4(High),4(High),"Dashboards / Visualisations, Predictive models / forecasts, Exploratory models",Monthly,Yes,Yes,2,Advanced,"Data analysis and statistical modelling, Data visualization and reporting, Machine learning / AI methods, Software tools (e.g., R, Python, SAS, SQL)","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality",No,No,Yes,No,Backup systems,.,.,.
10/2/2025 13:09:10,Research & Product Development (RPD),Information Communication Technology,ICT OFFICER,Administrative,"Python, Excel","Excel, Paper-based forms",SQL / MySQL / PostgreSQL,3(Fair),3(Fair),3(Fair),3(Fair),3(Moderate),3(Moderate),3(Moderate),Standard reports  Docs/PDFs,Ad-hoc / As needed,Yes,Yes,,Intermediate,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination","Lack of clear institutional policies and guidelines, Inadequate staff training on data protection",No,No,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",Career growth and implementation f Ai in data visualization,YES,Nery interested to be part of you And will come we have a talk
10/2/2025 15:05:40,Research & Product Development (RPD),Reproductive health & Biology,Research Scientist,All of the above,"R, GraphPad, Excel","Excel, Paper-based forms","MS Access, Text Based Database",2(Poor),2(Poor),2(Poor),2(Poor),2(Low),1(Not Protected),1(Not Protected),"Standard reports  Docs/PDFs, Predictive models / forecasts, Exploratory models, Ad-hoc Analyses / As needed",Monthly,Yes,No,,Intermediate,"Data analysis and statistical modelling, Data management and governance, Machine learning / AI methods, Data security and compliance, Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Risks of data breaches or unauthorized access, Limited resources for implementing security measures",Maybe,No,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization","The Data Science & Analytics Section can best support our goals through close collaboration with bioinformatics, ensuring that data-driven insights are effectively integrated with biological interpretation ","Yes, collaboration would be valuable in upcoming projects involving large-scale genomic, proteomic, and clinical datasets. Integrating data science and bioinformatics expertise will be essential for biomarker discovery, predictive modeling, and developing machine learning pipelines to analyze high-dimensional biological data. Joint efforts could also strengthen projects on patient stratification, outcome prediction, and data integration across multiple cohorts, ensuring more robust and reproducible insights.","Focus should be placed on robust data governance frameworks that address data breaches, privacy policies, and ethical considerations in both biological and personal data handling. This includes implementing secure storage systems, encryption protocols, and strict access controls for sensitive datasets. Particular attention should be given to personal data derived from the biometric systems (e.g. personnel profiles, facial recognition, and/or any identifiers), ensuring they are protected against misuse and unauthorised access. Clear guidelines on data ownership, informed consent, and data sharing must be established to safeguard personnel rights while enabling responsible research use. Regular audits, compliance with  and continuous staff training are essential to uphold security, trust, and integrity in data management"
10/2/2025 15:44:38,Research & Product Development (RPD),Evolutionary Ecology Conservation &Ecosystem Health,Assistant Research Scientist,Biological,"R, SPSS",ODK/KOBO Collect,ODK,4(Good),4(Good),4(Good),4(Good),4(High),3(Moderate),4(High),"Dashboards / Visualisations, Standard reports  Docs/PDFs, Predictive models / forecasts, Exploratory models, Ad-hoc Analyses / As needed",Monthly,Yes,No,,Intermediate,"Data analysis and statistical modelling, Data visualization and reporting, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL)","Inadequate staff training on data protection, Risks of data breaches or unauthorized access",No,Yes,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",It will support better data analysis ,N/A,N/A
10/3/2025 9:21:04,Animal Science Welfare & Ethics (ASWED),Veterinary Clinical & Diagnostis Services,Senior Technician,All of the above,Excel,"ODK/KOBO Collect, CSPro, Excel","ODK, MS Access",3(Fair),3(Fair),3(Fair),3(Fair),3(Moderate),3(Moderate),3(Moderate),Ad-hoc Analyses / As needed,Ad-hoc / As needed,Yes,Yes,5,Intermediate,"Data analysis and statistical modelling, Data security and compliance, Research design and methodology","Limited infrastructure or secure storage systems, Inadequate staff training on data protection, Limited resources for implementing security measures",No,Yes,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",Have a clear plan of how to access the services,yes,There is need for a centralized location for access and assurance of data confidentiality
10/3/2025 9:35:19,Research & Product Development (RPD),Infectious Diseases & one health,Research Scientist,Biological,R,Excel,MS Access,2(Poor),2(Poor),2(Poor),2(Poor),2(Low),2(Low),2(Low),"Exploratory models, ",Ad-hoc / As needed,No,Yes,,Beginner,"Data analysis and statistical modelling, Machine learning / AI methods, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Difficulty complying with national or international regulations, Risks of data breaches or unauthorized access, Limited resources for implementing security measures",No,No,No,No,"Backup systems, Access control / permissions, Staff training and sensitization",We can certainly work together to see how he can utilize that expertise for the betterment of my section in Virology,yes ,We need to see the SOPs if they are in place and maybe have a meeting to discuss this
10/3/2025 9:40:21,Research & Product Development (RPD),Infectious Diseases & one health,Research Scientist,All of the above,"R, Python, GraphPad, Excel","Excel, Paper-based forms",MS Access,3(Fair),3(Fair),2(Poor),3(Fair),2(Low),2(Low),2(Low),"Dashboards / Visualisations, Ad-hoc Analyses / As needed",Ad-hoc / As needed,Yes,Yes,,Intermediate,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Difficulty complying with national or international regulations, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",No,Yes,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization","Pre-project planning, statistical modelling",All institutional projects require collaboration with this section,None
10/3/2025 12:05:24,Research & Product Development (RPD),Infectious Diseases & one health,Research Scientist,Biological,"GraphPad, Excel","Excel, Paper-based forms",None/Don't Know,3(Fair),3(Fair),3(Fair),3(Fair),3(Moderate),3(Moderate),3(Moderate),"Standard reports  Docs/PDFs, Exploratory models, Ad-hoc Analyses / As needed",Ad-hoc / As needed,Yes,No,,Beginner,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Difficulty complying with national or international regulations, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",No,No,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",As responded in the previous sections,All projects should be supported by data scientists,none
10/3/2025 16:04:07,Research & Product Development (RPD),Reproductive health & Biology,Assistant Research Scientist,Biological,"R, Excel",Excel,Text Based Database,3(Fair),4(Good),2(Poor),3(Fair),5(Very High),3(Moderate),4(High),"Dashboards / Visualisations, Standard reports  Docs/PDFs",Ad-hoc / As needed,Maybe,Yes,all of us,Intermediate,all of the above,"Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Limited resources for implementing security measures",Maybe,Yes,No,Maybe,"Backup systems, Access control / permissions, Staff training and sensitization",help in understanding and analysing our data,yes sure,None at the moment
10/4/2025 16:26:20,Animal Science Welfare & Ethics (ASWED),Veterinary Clinical & Diagnostis Services,Assistant Research Scientist,Biological,"R, Python, SPSS, GraphPad, Excel, VS Code","ODK/KOBO Collect, Excel, Paper-based forms, Google Forms","ODK, Text Based Database, Kobo Collect",4(Good),4(Good),4(Good),4(Good),3(Moderate),3(Moderate),3(Moderate),"Dashboards / Visualisations, Standard reports  Docs/PDFs, Exploratory models, Ad-hoc Analyses / As needed",Monthly,Yes,Yes,1,Intermediate,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Difficulty complying with national or international regulations, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",Yes,Maybe,Maybe,Maybe,"Backup systems, Access control / permissions, Staff training and sensitization","1.assisting in the design and optimization of digital data collection tools for field surveillance, developing automated data cleaning and integration pipelines, and supporting advanced statistical and spatial analyses
2.support in developing interactive dashboards and data summaries would enhance real-time decision-making and reporting
",YES,Establishi regular data review sessions and mentorship programs on data management and analysis would greatly enhance research quality and efficiency.
10/6/2025 11:59:17,Animal Science Welfare & Ethics (ASWED),Veterinary Clinical & Diagnostis Services,Veterinary doctor,All of the above,Excel,Paper-based forms,Text Based Database,5(Excellent),4(Good),4(Good),5(Excellent),1(Not Protected),1(Not Protected),1(Not Protected),Standard reports  Docs/PDFs,Ad-hoc / As needed,Yes,No,15,Beginner,"Data analysis and statistical modelling, Data management and governance, Data visualization and reporting, Machine learning / AI methods, Data security and compliance, Research design and methodology, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination, Communication and knowledge translation","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection, Risks of data breaches or unauthorized access, Challenges in managing consent and confidentiality, Limited resources for implementing security measures",No,No,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",Training,N/A,N/A
10/6/2025 12:10:08,Research & Product Development (RPD),Reproductive health & Biology,Research Scientist,All of the above,"R, Python, GraphPad, Excel, SAS","REDCap, Excel, Paper-based forms","REDCap, SQL / MySQL / PostgreSQL",3(Fair),3(Fair),3(Fair),3(Fair),2(Low),2(Low),2(Low),"Dashboards / Visualisations, Predictive models / forecasts, Exploratory models, Ad-hoc Analyses / As needed",Quarterly,Maybe,Yes,3,Advanced,"Data analysis and statistical modelling, Data management and governance, Data security and compliance, Software tools (e.g., R, Python, SAS, SQL), Project management and coordination","Limited infrastructure or secure storage systems, Lack of clear institutional policies and guidelines, Inadequate staff training on data protection",Maybe,No,Yes,Maybe,"Backup systems, Access control / permissions, Staff training and sensitization",Training for staff,no,None
10/6/2025 12:14:50,Animal Science Welfare & Ethics (ASWED),Veterinary Clinical & Diagnostis Services,Director,All of the above,None,Paper-based forms,None/Don't Know,2(Poor),2(Poor),2(Poor),2(Poor),1(Not Protected),1(Not Protected),1(Not Protected),Dashboards / Visualisations,Quarterly,Yes,Yes,10,Intermediate,"Data analysis and statistical modelling, Machine learning / AI methods, Data security and compliance","Limited infrastructure or secure storage systems, Inadequate staff training on data protection, Difficulty complying with national or international regulations",Yes,Yes,Yes,No,"Backup systems, Access control / permissions, Staff training and sensitization",Software training ,No,None
